Study,Location,Spp,FG,d13C,d15N,NS
MEC,Coquimbo,Echinolittorina peruviana,Benthic_BL,-11.1,14.9,1
MEC,Coquimbo,Echinolittorina peruviana,Benthic_BL,-11.9,15.2,1
MEC,Coquimbo,Echinolittorina peruviana,Benthic_BL,-11.7,15.0,1
MEC,Coquimbo,Echinolittorina peruviana,Benthic_BL,-11.5,15.2,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-14.6,16.3,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-13.8,15.7,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-14.5,15.4,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-14.3,15.5,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-14.6,16.4,1
MEC,Coquimbo,Tegula atra,Benthic_BL,-13.9,15.4,1
MEC,Coquimbo,Tegula atra,Benthic_BL,-14.5,15.9,1
MEC,Coquimbo,Tegula atra,Benthic_BL,-13.0,15.1,1
MEC,Coquimbo,Echinolittorina peruviana,Benthic_BL,-11.9,14.6,1
MEC,Coquimbo,Echinolittorina peruviana,Benthic_BL,-12.0,14.8,1
MEC,Coquimbo,Echinolittorina peruviana,Benthic_BL,-12.2,14.9,1
MEC,Coquimbo,Echinolittorina peruviana,Benthic_BL,-12.0,15.1,1
MEC,Coquimbo,Echinolittorina peruviana,Benthic_BL,-12.0,15.1,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-14.1,15.8,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-15.1,15.8,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-13.8,16.1,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-13.9,15.9,1
MEC,Coquimbo,Prisogaster niger,Benthic_BL,-14.2,16.2,1
MEC,Coquimbo,Tegula atra,Benthic_BL,-14.2,15.4,1
MEC,Coquimbo,Tegula atra,Benthic_BL,-14.3,15.2,1
MEC,Coquimbo,Tegula atra,Benthic_BL,-13.4,15.2,1
MEC,Coquimbo,Tegula atra,Benthic_BL,-13.7,15.1,1
MEC,Coquimbo,Tegula atra,Benthic_BL,-13.7,15.6,1
MEC,Coquimbo,Tegula atra,Benthic_BL,-12.0,14.8,1
MEC,Coquimbo,Bilagay,Bilagay,-16.2,19.4,1
MEC,Coquimbo,Bilagay,Bilagay,-16.7,19.0,1
MEC,Coquimbo,Bilagay,Bilagay,-17.8,19.1,1
MEC,Coquimbo,Bilagay,Bilagay,-16.5,18.3,1
MEC,Coquimbo,Bilagay,Bilagay,-16.8,19.8,1
MEC,Coquimbo,Bilagay,Bilagay,-17.8,20.1,1
MEC,Coquimbo,Bilagay,Bilagay,-16.3,19.6,1
MEC,Coquimbo,Bilagay,Bilagay,-15.5,20.3,1
MEC,Coquimbo,Bilagay,Bilagay,-16.3,19.5,1
MEC,Coquimbo,Bilagay,Bilagay,-16.0,19.9,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-17.3,13.8,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-17.6,14.3,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-17.4,14.2,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-16.6,13.4,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-17.0,13.8,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-16.9,13.3,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-18.5,14.6,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-18.1,14.0,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-17.5,14.2,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-18.3,13.9,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-17.6,13.4,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-18.0,12.1,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-17.0,13.9,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-18.0,12.6,1
MEC,Coquimbo,Perumytilus purpuratus,Pelagic_BL,-17.2,13.6,1
